id,date,id_day,negative,positive,sentiment
492,2022-12-19,2,4,18,14
493,2022-12-20,1,6,15,9
494,2022-12-22,1,15,37,22
495,2022-12-22,2,2,15,13
496,2022-12-23,1,4,48,44
497,2022-12-23,2,3,20,17
498,2022-12-24,1,3,5,2
499,2022-12-25,1,0,18,18
500,2022-12-26,1,1,10,9
501,2022-12-27,1,3,15,12
502,2022-12-28,1,19,106,87
503,2022-12-28,2,0,6,6
504,2022-12-29,1,4,9,5
505,2022-12-30,1,0,13,13
506,2022-12-31,1,4,5,1
507,2022-12-31,2,15,22,7
508,2023-01-01,1,1,12,11
509,2023-01-02,1,2,9,7
510,2023-01-03,1,0,10,10
511,2023-01-04,1,16,24,8
512,2023-01-05,1,6,16,10
513,2023-01-06,1,0,13,13
514,2023-01-06,2,3,12,9
515,2023-01-07,1,4,13,9
516,2023-01-08,1,1,14,13
517,2023-01-09,1,4,14,10
518,2023-01-10,1,7,30,23
519,2023-01-11,1,1,14,13
520,2023-01-12,1,4,16,12
521,2023-01-13,1,3,11,8
522,2023-01-13,2,5,17,12
523,2023-01-14,1,2,4,2
524,2023-01-15,1,3,6,3
525,2023-01-16,1,5,22,17
526,2023-01-17,1,5,10,5
527,2023-01-17,2,4,8,4
528,2023-01-18,1,9,9,0
529,2023-01-18,2,6,10,4
530,2023-01-19,1,10,3,-7
531,2023-01-19,2,2,16,14
532,2023-01-20,1,1,3,2
533,2023-01-20,2,2,21,19
534,2023-01-21,1,5,8,3
535,2023-01-21,2,1,4,3
536,2023-01-22,1,1,26,25
537,2023-01-22,2,3,25,22
538,2023-01-23,1,9,8,-1
539,2023-01-23,2,3,12,9
540,2023-01-24,1,2,17,15
541,2023-01-25,1,5,22,17
542,2023-01-26,1,5,11,6
544,2023-01-27,2,0,11,11
545,2023-01-28,1,4,4,0
546,2023-01-29,1,2,8,6
547,2023-01-30,1,0,18,18
548,2023-01-31,1,1,11,10
549,2023-02-01,1,4,16,12
550,2023-02-02,1,0,10,10
552,2023-02-02,3,3,18,15
553,2023-02-03,1,0,20,20
554,2023-02-04,1,0,8,8
555,2023-02-05,1,0,11,11
556,2023-02-06,1,2,18,16
557,2023-02-07,1,1,10,9
558,2023-02-08,1,6,18,12
559,2023-02-09,1,3,25,22
560,2023-02-09,2,2,20,18
561,2023-02-10,1,1,4,3
562,2023-02-10,2,4,2,-2
563,2023-02-10,3,1,38,37
564,2023-02-11,1,10,12,2
565,2023-02-12,1,1,13,12
566,2023-02-13,1,0,26,26
567,2023-02-14,1,2,16,14
568,2023-02-15,1,1,14,13
569,2023-02-16,1,6,16,10
570,2023-02-16,2,1,15,14
571,2023-02-17,1,2,15,13
572,2023-02-17,2,9,25,16
573,2023-02-17,3,1,12,11
574,2023-02-17,4,2,22,20
575,2023-02-18,1,6,23,17
