id,date,id_day,time,n
425,2022-11-11,1,15H 17M 0S,100
426,2022-11-11,2,19H 49M 0S,1023
427,2022-11-12,1,20H 5M 0S,826
428,2022-11-13,1,21H 24M 0S,681
429,2022-11-14,1,23H 55M 0S,882
430,2022-11-15,1,7H 31M 0S,3175
431,2022-11-15,2,22H 28M 0S,716
432,2022-11-16,1,9H 21M 0S,474
433,2022-11-16,2,21H 48M 0S,839
434,2022-11-17,1,12H 25M 0S,1257
435,2022-11-17,2,22H 19M 0S,913
436,2022-11-18,1,18H 20M 0S,787
437,2022-11-18,2,23H 28M 0S,820
438,2022-11-19,1,9H 53M 0S,490
439,2022-11-19,2,19H 19M 0S,359
440,2022-11-20,1,19H 17M 0S,616
441,2022-11-20,2,21H 19M 0S,501
442,2022-11-21,1,9H 1M 0S,1104
443,2022-11-21,2,16H 53M 0S,1122
444,2022-11-21,3,22H 10M 0S,917
445,2022-11-22,1,18H 50M 0S,1031
446,2022-11-22,2,22H 47M 0S,895
447,2022-11-24,1,15M 0S,813
448,2022-11-24,2,33M 0S,539
449,2022-11-24,3,13H 59M 0S,1036
450,2022-11-24,4,22H 25M 0S,1001
451,2022-11-25,1,12H 25M 0S,1218
452,2022-11-25,2,22H 5M 0S,709
453,2022-11-26,1,15H 12M 0S,1826
454,2022-11-26,2,20H 4M 0S,792
455,2022-11-27,1,22H 8M 0S,470
456,2022-11-28,1,22H 27M 0S,785
457,2022-11-29,1,15H 13M 0S,774
458,2022-11-29,2,23H 33M 0S,827
459,2022-11-30,1,22H 25M 0S,472
460,2022-12-01,1,22H 47M 0S,878
461,2022-12-02,1,23H 45M 0S,647
462,2022-12-03,1,20H 7M 0S,632
463,2022-12-04,1,21H 53M 0S,599
464,2022-12-05,1,17H 12M 0S,932
465,2022-12-05,2,20H 56M 0S,549
466,2022-12-06,1,22H 56M 0S,561
467,2022-12-07,1,11H 37M 0S,404
468,2022-12-07,2,20H 50M 0S,409
469,2022-12-07,3,22H 48M 0S,773
470,2022-12-08,1,12H 14M 0S,313
471,2022-12-08,2,22H 17M 0S,423
472,2022-12-09,1,11H 10M 0S,336
473,2022-12-09,2,13H 3M 0S,1029
474,2022-12-09,3,15H 26M 0S,1560
475,2022-12-09,4,20H 4M 0S,679
476,2022-12-10,1,22H 3M 0S,760
477,2022-12-11,1,22H 1M 0S,417
478,2022-12-12,1,19H 51M 0S,1266
479,2022-12-12,2,22H 11M 0S,785
480,2022-12-13,1,12H 54M 0S,1219
481,2022-12-13,2,19H 5M 0S,1214
482,2022-12-13,3,22H 20M 0S,544
483,2022-12-13,4,23H 9M 0S,1269
484,2022-12-14,1,15H 30M 0S,947
485,2022-12-14,2,20H 10M 0S,805
486,2022-12-15,1,14H 13M 0S,1740
487,2022-12-15,2,22H 58M 0S,354
488,2022-12-16,1,20H 1M 0S,600
489,2022-12-17,1,21H 5M 0S,563
490,2022-12-18,1,22H 23M 0S,747
491,2022-12-19,1,14H 25M 0S,1351
492,2022-12-19,2,23H 45M 0S,961
493,2022-12-20,1,21H 27M 0S,512
494,2022-12-22,1,7H 39M 0S,1817
495,2022-12-22,2,18H 6M 0S,307
496,2022-12-23,1,16H 2M 0S,2509
497,2022-12-23,2,19H 42M 0S,679
498,2022-12-24,1,19H 0M 0S,1052
499,2022-12-25,1,20H 50M 0S,608
500,2022-12-26,1,22H 11M 0S,491
501,2022-12-27,1,22H 21M 0S,571
502,2022-12-28,1,18H 51M 0S,4508
503,2022-12-28,2,22H 18M 0S,495
504,2022-12-29,1,22H 54M 0S,529
505,2022-12-30,1,19H 46M 0S,383
506,2022-12-31,1,17H 49M 0S,547
507,2022-12-31,2,23H 55M 0S,1618
508,2023-01-01,1,20H 2M 0S,346
509,2023-01-02,1,21H 30M 0S,620
510,2023-01-03,1,22H 17M 0S,693
511,2023-01-04,1,22H 44M 0S,797
512,2023-01-05,1,23H 3M 0S,1170
513,2023-01-06,1,19H 0M 0S,511
514,2023-01-06,2,21H 21M 0S,784
515,2023-01-07,1,19H 58M 0S,462
516,2023-01-08,1,20H 56M 0S,600
517,2023-01-09,1,22H 30M 0S,706
518,2023-01-10,1,22H 4M 0S,724
519,2023-01-11,1,19H 2M 0S,467
520,2023-01-12,1,22H 7M 0S,555
521,2023-01-13,1,13H 15M 0S,879
522,2023-01-13,2,22H 30M 0S,718
523,2023-01-14,1,19H 41M 0S,595
524,2023-01-15,1,21H 8M 0S,622
525,2023-01-16,1,22H 17M 0S,925
526,2023-01-17,1,21H 28M 0S,1064
527,2023-01-17,2,22H 44M 0S,575
528,2023-01-18,1,20H 41M 0S,715
529,2023-01-18,2,22H 7M 0S,679
530,2023-01-19,1,12H 24M 0S,397
531,2023-01-19,2,22H 50M 0S,877
532,2023-01-20,1,14H 3M 0S,724
533,2023-01-20,2,20H 11M 0S,634
534,2023-01-21,1,18H 0M 0S,711
535,2023-01-21,2,20H 24M 0S,244
536,2023-01-22,1,9H 3M 0S,635
537,2023-01-22,2,21H 36M 0S,690
538,2023-01-23,1,19H 43M 0S,752
539,2023-01-23,2,22H 45M 0S,665
540,2023-01-24,1,23H 24M 0S,1003
541,2023-01-25,1,21H 39M 0S,815
542,2023-01-26,1,22H 12M 0S,759
543,2023-01-27,1,10H 49M 0S,136
544,2023-01-27,2,19H 54M 0S,721
545,2023-01-28,1,21H 38M 0S,593
546,2023-01-29,1,20H 35M 0S,842
547,2023-01-30,1,20H 25M 0S,630
548,2023-01-31,1,22H 56M 0S,594
549,2023-02-01,1,22H 56M 0S,586
550,2023-02-02,1,16H 50M 0S,944
551,2023-02-02,2,18H 33M 0S,584
552,2023-02-02,3,21H 54M 0S,654
553,2023-02-03,1,20H 34M 0S,931
554,2023-02-04,1,20H 5M 0S,610
555,2023-02-05,1,21H 6M 0S,696
556,2023-02-06,1,21H 36M 0S,572
557,2023-02-07,1,20H 9M 0S,620
558,2023-02-08,1,19H 28M 0S,1870
559,2023-02-09,1,14H 10M 0S,1489
560,2023-02-09,2,15H 48M 0S,1630
561,2023-02-10,1,14H 27M 0S,179
562,2023-02-10,2,16H 46M 0S,796
563,2023-02-10,3,18H 55M 0S,747
564,2023-02-11,1,17H 50M 0S,523
565,2023-02-12,1,20H 44M 0S,524
566,2023-02-13,1,22H 40M 0S,1112
567,2023-02-14,1,21H 45M 0S,660
568,2023-02-15,1,23H 5M 0S,664
569,2023-02-16,1,11H 48M 0S,772
570,2023-02-16,2,22H 25M 0S,942
571,2023-02-17,1,36M 0S,911
572,2023-02-17,2,18H 46M 0S,1357
573,2023-02-17,3,19H 9M 0S,775
574,2023-02-17,4,20H 18M 0S,593
575,2023-02-18,1,21H 10M 0S,732
576,2023-02-19,1,21H 30M 0S,686
577,2023-02-20,1,9H 3M 0S,394
578,2023-02-20,2,22H 34M 0S,982
579,2023-02-21,1,23H 12M 0S,868
580,2023-02-22,1,12H 55M 0S,476
581,2023-02-22,2,22H 50M 0S,957
582,2023-02-24,1,10M 0S,529
583,2023-02-24,2,8H 3M 0S,1583
584,2023-02-25,1,12H 49M 0S,415
585,2023-02-25,2,14H 12M 0S,569
586,2023-02-25,3,20H 58M 0S,626
587,2023-02-25,4,21H 4M 0S,395
588,2023-02-26,1,19H 25M 0S,967
589,2023-02-27,1,22H 7M 0S,595
590,2023-02-28,1,17H 49M 0S,676
591,2023-02-28,2,22H 48M 0S,976
592,2023-03-01,1,21H 44M 0S,620
593,2023-03-02,1,21H 27M 0S,502
594,2023-03-03,1,20H 40M 0S,1609
595,2023-03-03,2,21H 1M 0S,767
596,2023-03-04,1,17H 29M 0S,538
597,2023-03-05,1,20H 25M 0S,665
598,2023-03-06,1,22H 26M 0S,586
