doc_id,date,id,id_day,net_sentiment
text506,2023-01-01,506,1,20
text507,2023-01-02,507,1,36
text508,2023-01-03,508,1,45
text509,2023-01-04,509,1,47
text510,2023-01-05,510,1,7
text511,2023-01-06,511,1,40
text512,2023-01-06,512,2,47
text513,2023-01-07,513,1,41
text514,2023-01-08,514,1,33
text515,2023-01-09,515,1,29
text516,2023-01-10,516,1,90
text517,2023-01-11,517,1,37
text518,2023-01-12,518,1,37
text519,2023-01-13,519,1,62
text520,2023-01-13,520,2,44
text521,2023-01-14,521,1,-4
text522,2023-01-15,522,1,19
text523,2023-01-16,523,1,33
text524,2023-01-17,524,1,34
text525,2023-01-17,525,2,29
text526,2023-01-18,526,1,-34
text527,2023-01-18,527,2,22
text528,2023-01-19,528,1,-49
text529,2023-01-19,529,2,78
text530,2023-01-20,530,1,49
text531,2023-01-20,531,2,64
text532,2023-01-21,532,1,-14
text533,2023-01-21,533,2,7
text534,2023-01-22,534,1,38
text535,2023-01-22,535,2,89
text536,2023-01-23,536,1,46
text537,2023-01-23,537,2,12
text538,2023-01-24,538,1,114
text539,2023-01-25,539,1,86
text540,2023-01-26,540,1,2
text541,2023-01-27,541,1,-13
text542,2023-01-27,542,2,6
text543,2023-01-28,543,1,11
text544,2023-01-29,544,1,-4
text545,2023-01-30,545,1,64
text546,2023-01-31,546,1,16
text547,2023-02-01,547,1,38
text548,2023-02-02,548,1,52
text549,2023-02-02,549,2,38
text550,2023-02-02,550,3,13
text551,2023-02-03,551,1,69
text552,2023-02-04,552,1,60
text553,2023-02-05,553,1,31
text554,2023-02-06,554,1,58
text555,2023-02-07,555,1,49
text556,2023-02-08,556,1,36
text557,2023-02-09,557,1,86
text558,2023-02-09,558,2,-1
text559,2023-02-10,559,1,-5
text560,2023-02-10,560,2,-26
text561,2023-02-10,561,3,83
text562,2023-02-11,562,1,21
text563,2023-02-12,563,1,14
text564,2023-02-13,564,1,124
text565,2023-02-14,565,1,61
text566,2023-02-15,566,1,51
text567,2023-02-16,567,1,65
text568,2023-02-16,568,2,129
text569,2023-02-17,569,1,-8
text570,2023-02-17,570,2,33
text571,2023-02-17,571,3,-11
text572,2023-02-17,572,4,51
text573,2023-02-18,573,1,35
text574,2023-02-19,574,1,27
text575,2023-02-20,575,1,38
text576,2023-02-20,576,2,65
text577,2023-02-21,577,1,22
text578,2023-02-22,578,1,46
text579,2023-02-22,579,2,65
text580,2023-02-24,580,1,30
text581,2023-02-24,581,2,-7
text582,2023-02-25,582,1,8
text583,2023-02-25,583,2,38
text584,2023-02-25,584,3,60
text585,2023-02-25,585,4,48
text586,2023-02-26,586,1,48
text587,2023-02-27,587,1,13
text588,2023-02-28,588,1,58
text589,2023-02-28,589,2,24
text590,2023-03-01,590,1,3
text591,2023-03-02,591,1,49
text592,2023-03-03,592,1,-64
text593,2023-03-03,593,2,41
text594,2023-03-04,594,1,31
text595,2023-03-05,595,1,42
text596,2023-03-06,596,1,20
text597,2023-03-07,597,1,36
text598,2023-03-08,598,1,45
text599,2023-03-08,599,2,46
text600,2023-03-09,600,1,59
text601,2023-03-10,601,1,87
text602,2023-03-10,602,2,16
text603,2023-03-11,603,1,-2
text604,2023-03-12,604,1,64
text605,2023-03-13,605,1,54
text606,2023-03-14,606,1,30
text607,2023-03-15,607,1,41
text608,2023-03-16,608,1,-5
text609,2023-03-17,609,1,46
text610,2023-03-18,610,1,10
text611,2023-03-19,611,1,23
text612,2023-03-20,612,1,53
text613,2023-03-21,613,1,54
text614,2023-03-22,614,1,29
text615,2023-03-23,615,1,4
text616,2023-03-23,616,2,37
text617,2023-03-24,617,1,40
text618,2023-03-25,618,1,34
text619,2023-03-25,619,2,29
text620,2023-03-26,620,1,44
text621,2023-03-27,621,1,35
text622,2023-03-28,622,1,37
text623,2023-03-29,623,1,7
text624,2023-03-29,624,2,78
text625,2023-03-30,625,1,57
text626,2023-03-30,626,2,92
text627,2023-03-31,627,1,12
text628,2023-04-01,628,1,12
text629,2023-04-02,629,1,19
text630,2023-04-03,630,1,49
text631,2023-04-04,631,1,71
text632,2023-04-04,632,2,49
text633,2023-04-05,633,1,2
text634,2023-04-05,634,2,148
text635,2023-04-06,635,1,54
text636,2023-04-07,636,1,29
text637,2023-04-08,637,1,52
text638,2023-04-09,638,1,48
text639,2023-04-11,639,1,62
text640,2023-04-12,640,1,-13
text641,2023-04-12,641,2,87
text642,2023-04-12,642,3,1
text643,2023-04-13,643,1,56
text644,2023-04-14,644,1,8
text645,2023-04-15,645,1,-1
text646,2023-04-16,646,1,61
text647,2023-04-17,647,1,42
text648,2023-04-18,648,1,42
text649,2023-04-19,649,1,53
text650,2023-04-20,650,1,132
text651,2023-04-20,651,2,71
text652,2023-04-21,652,1,-44
text653,2023-04-21,653,2,52
text654,2023-04-22,654,1,45
text655,2023-04-23,655,1,66
text656,2023-04-24,656,1,74
text657,2023-04-25,657,1,-24
text658,2023-04-26,658,1,23
text659,2023-04-26,659,2,73
text660,2023-04-27,660,1,-7
text661,2023-04-28,661,1,7
text662,2023-04-29,662,1,3
text663,2023-04-30,663,1,87
text664,2023-05-01,664,1,15
text665,2023-05-02,665,1,35
text666,2023-05-04,666,1,68
text667,2023-05-04,667,2,-26
text668,2023-05-05,668,1,177
text669,2023-05-05,669,2,71
text670,2023-05-06,670,1,83
text671,2023-05-07,671,1,61
text672,2023-05-08,672,1,-8
text673,2023-05-08,673,2,52
text674,2023-05-09,674,1,-8
text675,2023-05-09,675,2,51
text676,2023-05-10,676,1,28
text677,2023-05-11,677,1,91
text678,2023-05-12,678,1,5
text679,2023-05-13,679,1,33
text680,2023-05-14,680,1,171
text681,2023-05-15,681,1,77
text682,2023-05-16,682,1,61
text683,2023-05-16,683,2,66
text684,2023-05-17,684,1,62
text685,2023-05-18,685,1,-2
text686,2023-05-18,686,2,38
text687,2023-05-19,687,1,33
text688,2023-05-20,688,1,53
text689,2023-05-21,689,1,122
text690,2023-05-21,690,2,-2
text691,2023-05-21,691,3,-13
text692,2023-05-21,692,4,27
text693,2023-05-22,693,1,41
text694,2023-05-23,694,1,85
text695,2023-05-24,695,1,-24
text696,2023-05-25,696,1,53
text697,2023-05-25,697,2,57
text698,2023-05-25,698,3,47
text699,2023-05-26,699,1,33
text700,2023-05-27,700,1,42
text701,2023-05-28,701,1,56
text702,2023-05-29,702,1,62
text703,2023-05-29,703,2,32
text704,2023-05-30,704,1,61
text705,2023-05-31,705,1,-5
text706,2023-05-31,706,2,27
text707,2023-06-01,707,1,4
text708,2023-06-01,708,2,55
text709,2023-06-02,709,1,49
text710,2023-06-03,710,1,71
text711,2023-06-04,711,1,-44
text712,2023-06-05,712,1,56
text713,2023-06-06,713,1,13
text714,2023-06-06,714,2,15
text715,2023-06-07,715,1,-42
text716,2023-06-07,716,2,10
text717,2023-06-08,717,1,-67
text718,2023-06-09,718,1,-8
text719,2023-06-09,719,2,61
text720,2023-06-10,720,1,25
text721,2023-06-11,721,1,22
text722,2023-06-11,722,2,22
text723,2023-06-12,723,1,24
text724,2023-06-13,724,1,21
text725,2023-06-14,725,1,41
text726,2023-06-15,726,1,10
text727,2023-06-15,727,2,56
text728,2023-06-16,728,1,24
text729,2023-06-17,729,1,86
text730,2023-06-18,730,1,39
text731,2023-06-19,731,1,24
text732,2023-06-20,732,1,2
text733,2023-06-21,733,1,66
text734,2023-06-21,734,2,20
text735,2023-06-22,735,1,3
text736,2023-06-22,736,2,-14
text737,2023-06-22,737,3,-18
text738,2023-06-23,738,1,83
text739,2023-06-23,739,2,21
text740,2023-06-23,740,3,74
text741,2023-06-24,741,1,0
text742,2023-06-25,742,1,70
text743,2023-06-25,743,2,48
text744,2023-06-27,744,1,57
text745,2023-06-27,745,2,40
text746,2023-06-28,746,1,485
text747,2023-06-28,747,2,33
text748,2023-06-29,748,1,58
text749,2023-06-29,749,2,80
text750,2023-06-29,750,3,44
text751,2023-06-30,751,1,63
text752,2023-07-01,752,1,42
text753,2023-07-02,753,1,41
text754,2023-07-03,754,1,73
text755,2023-07-04,755,1,-2
text756,2023-07-05,756,1,11
text757,2023-07-05,757,2,7
text758,2023-07-06,758,1,100
text759,2023-07-08,759,1,37
