id,date,sentiment,country
338,15 September 2022,0,ukraine
338,15 September 2022,-20,russia
339,15 September 2022,15,ukraine
339,15 September 2022,-12,russia
340,16 September 2022,8,ukraine
340,16 September 2022,-3,russia
341,17 September 2022,7,ukraine
341,17 September 2022,3,russia
342,18 September 2022,10,ukraine
343,19 September 2022,16,ukraine
343,19 September 2022,-2,russia
344,21 September 2022,17,ukraine
344,21 September 2022,-3,russia
345,21 September 2022,7,ukraine
345,21 September 2022,4,russia
346,22 September 2022,-1,ukraine
346,22 September 2022,-30,russia
347,22 September 2022,18,ukraine
347,22 September 2022,3,russia
348,23 September 2022,9,ukraine
348,23 September 2022,-7,russia
349,23 September 2022,9,ukraine
349,23 September 2022,0,russia
350,23 September 2022,23,ukraine
350,23 September 2022,-19,russia
351,24 September 2022,6,ukraine
351,24 September 2022,-4,russia
352,25 September 2022,9,ukraine
352,25 September 2022,-2,russia
353,26 September 2022,14,ukraine
353,26 September 2022,-14,russia
354,27 September 2022,0,ukraine
354,27 September 2022,6,russia
355,27 September 2022,12,ukraine
355,27 September 2022,-6,russia
356,28 September 2022,9,ukraine
356,28 September 2022,-20,russia
357,28 September 2022,7,ukraine
357,28 September 2022,-1,russia
358,28 September 2022,9,ukraine
358,28 September 2022,5,russia
359,29 September 2022,-9,ukraine
359,29 September 2022,-22,russia
360,29 September 2022,5,ukraine
360,29 September 2022,-9,russia
361,30 September 2022,1,ukraine
361,30 September 2022,7,russia
362,30 September 2022,10,ukraine
362,30 September 2022,-3,russia
363,01 October 2022,9,ukraine
363,01 October 2022,-9,russia
364,02 October 2022,23,ukraine
364,02 October 2022,0,russia
365,03 October 2022,6,ukraine
365,03 October 2022,-1,russia
366,04 October 2022,13,ukraine
366,04 October 2022,0,russia
367,05 October 2022,-6,ukraine
367,05 October 2022,-18,russia
368,05 October 2022,16,ukraine
368,05 October 2022,5,russia
369,06 October 2022,3,ukraine
369,06 October 2022,-2,russia
370,06 October 2022,2,ukraine
370,06 October 2022,-9,russia
371,06 October 2022,9,ukraine
371,06 October 2022,-10,russia
372,06 October 2022,7,ukraine
372,06 October 2022,-5,russia
373,07 October 2022,3,ukraine
373,07 October 2022,9,russia
374,07 October 2022,28,ukraine
374,07 October 2022,1,russia
375,08 October 2022,14,ukraine
375,08 October 2022,-6,russia
376,08 October 2022,18,ukraine
376,08 October 2022,-2,russia
377,09 October 2022,8,ukraine
377,09 October 2022,-15,russia
378,10 October 2022,-1,ukraine
379,10 October 2022,11,ukraine
379,10 October 2022,-11,russia
380,11 October 2022,8,ukraine
380,11 October 2022,-15,russia
381,11 October 2022,10,ukraine
381,11 October 2022,-1,russia
382,11 October 2022,5,ukraine
382,11 October 2022,-2,russia
383,12 October 2022,11,ukraine
383,12 October 2022,-10,russia
384,12 October 2022,16,ukraine
384,12 October 2022,-5,russia
385,13 October 2022,21,ukraine
385,13 October 2022,-16,russia
386,13 October 2022,17,ukraine
386,13 October 2022,-5,russia
387,14 October 2022,26,ukraine
387,14 October 2022,0,russia
388,14 October 2022,9,ukraine
388,14 October 2022,0,russia
389,15 October 2022,5,ukraine
389,15 October 2022,-2,russia
390,16 October 2022,8,ukraine
390,16 October 2022,4,russia
391,17 October 2022,13,ukraine
391,17 October 2022,-4,russia
392,18 October 2022,11,ukraine
392,18 October 2022,-5,russia
393,19 October 2022,15,ukraine
393,19 October 2022,0,russia
394,20 October 2022,2,ukraine
394,20 October 2022,-29,russia
395,20 October 2022,6,ukraine
395,20 October 2022,-16,russia
396,21 October 2022,0,ukraine
396,21 October 2022,-13,russia
397,21 October 2022,10,ukraine
397,21 October 2022,-11,russia
398,22 October 2022,14,ukraine
398,22 October 2022,-11,russia
399,23 October 2022,5,ukraine
399,23 October 2022,-7,russia
400,24 October 2022,3,ukraine
400,24 October 2022,-20,russia
401,24 October 2022,13,ukraine
401,24 October 2022,-9,russia
402,25 October 2022,28,ukraine
402,25 October 2022,-4,russia
403,25 October 2022,14,ukraine
403,25 October 2022,-16,russia
404,25 October 2022,18,ukraine
404,25 October 2022,-2,russia
405,26 October 2022,4,ukraine
405,26 October 2022,0,russia
406,28 October 2022,1,ukraine
406,28 October 2022,0,russia
407,28 October 2022,14,ukraine
407,28 October 2022,0,russia
408,29 October 2022,12,ukraine
408,29 October 2022,-10,russia
409,29 October 2022,6,ukraine
409,29 October 2022,-15,russia
410,30 October 2022,11,ukraine
410,30 October 2022,-8,russia
411,31 October 2022,9,ukraine
411,31 October 2022,-23,russia
412,31 October 2022,5,ukraine
412,31 October 2022,-8,russia
413,01 November 2022,5,ukraine
413,01 November 2022,-13,russia
414,02 November 2022,19,ukraine
414,02 November 2022,-11,russia
415,03 November 2022,1,ukraine
415,03 November 2022,-12,russia
416,04 November 2022,16,ukraine
416,04 November 2022,-7,russia
417,05 November 2022,8,ukraine
417,05 November 2022,-10,russia
418,06 November 2022,5,ukraine
418,06 November 2022,-8,russia
419,07 November 2022,16,ukraine
419,07 November 2022,-9,russia
420,08 November 2022,15,ukraine
420,08 November 2022,3,russia
421,08 November 2022,-1,ukraine
421,08 November 2022,-11,russia
422,08 November 2022,16,ukraine
422,08 November 2022,-2,russia
423,09 November 2022,7,ukraine
423,09 November 2022,0,russia
424,10 November 2022,9,ukraine
425,11 November 2022,7,ukraine
425,11 November 2022,2,russia
426,11 November 2022,5,ukraine
426,11 November 2022,2,russia
427,12 November 2022,19,ukraine
427,12 November 2022,-4,russia
428,13 November 2022,6,ukraine
428,13 November 2022,-3,russia
429,14 November 2022,22,ukraine
429,14 November 2022,-2,russia
430,15 November 2022,1,ukraine
430,15 November 2022,-17,russia
431,15 November 2022,-1,ukraine
431,15 November 2022,-9,russia
432,16 November 2022,7,ukraine
432,16 November 2022,-2,russia
433,16 November 2022,6,ukraine
433,16 November 2022,-3,russia
434,17 November 2022,19,ukraine
434,17 November 2022,-8,russia
435,17 November 2022,11,ukraine
435,17 November 2022,-6,russia
436,18 November 2022,5,ukraine
436,18 November 2022,-5,russia
437,18 November 2022,16,ukraine
437,18 November 2022,-4,russia
438,19 November 2022,7,ukraine
438,19 November 2022,0,russia
439,19 November 2022,10,ukraine
439,19 November 2022,-1,russia
440,20 November 2022,10,ukraine
440,20 November 2022,-4,russia
441,20 November 2022,26,ukraine
441,20 November 2022,-2,russia
442,21 November 2022,27,ukraine
443,21 November 2022,20,ukraine
443,21 November 2022,-3,russia
444,21 November 2022,31,ukraine
444,21 November 2022,1,russia
445,22 November 2022,10,ukraine
445,22 November 2022,-7,russia
446,22 November 2022,10,ukraine
446,22 November 2022,2,russia
447,24 November 2022,6,ukraine
447,24 November 2022,-5,russia
448,24 November 2022,4,ukraine
448,24 November 2022,1,russia
449,24 November 2022,9,ukraine
449,24 November 2022,-1,russia
450,24 November 2022,11,ukraine
450,24 November 2022,-2,russia
451,25 November 2022,9,ukraine
451,25 November 2022,-15,russia
452,25 November 2022,10,ukraine
452,25 November 2022,0,russia
453,26 November 2022,-3,ukraine
453,26 November 2022,-3,russia
454,26 November 2022,11,ukraine
454,26 November 2022,0,russia
455,27 November 2022,12,ukraine
455,27 November 2022,-1,russia
456,28 November 2022,5,ukraine
456,28 November 2022,-6,russia
457,29 November 2022,12,ukraine
457,29 November 2022,-2,russia
458,29 November 2022,2,ukraine
458,29 November 2022,-10,russia
