docname,pre,keyword,post,id,date,id_day
text529,"mrs . olena , mrs . tamara , mrs . kateryna and all the employees of the kindergarten - i",thank you,"! thank you for your bold actions , for taking the children out . , i would also like to",529,2023-01-18,2
text529,", mrs . tamara , mrs . kateryna and all the employees of the kindergarten - i thank you !",thank you,"for your bold actions , for taking the children out . , i would also like to thank the ordinary",529,2023-01-18,2
text531,"with other warriors of the defense and security forces , are fighting in the donetsk direction , defending bakhmut .",thank you,", guys , for your resilience and ability to inflict such losses on the enemy that gradually make the occupiers",531,2023-01-19,2
text531,"ramstein - we expect powerful decisions . we expect a powerful military support package from the united states . ,",thank you,"to everyone who defends freedom with us ! , glory to all our warriors who show resilience and give ukraine",531,2023-01-19,2
text532,achieved unity ! for this dialogue and cooperation format . we see the results on the battlefield in ukraine .,thank you,". , on the battlefield against our common enemy . , , and i believe that our unity will only",532,2023-01-20,1
text532,"of weapons against it . , the war started by russia does not allow delays . , and i can",thank you,"hundreds of times and it will be absolutely just and fair , given all that we have already done ,",532,2023-01-20,1
text532,"will be absolutely just and fair , given all that we have already done , – but hundreds of """,thank you,"” are not hundreds of tanks . , all of us can use thousands of words in discussions , but",532,2023-01-20,1
text533,", estonia , latvia , lithuania , poland , slovakia , the uk , finland , netherlands and others –",thank you,"! , thanks to canada – and personally to prime minister trudeau ! , the only thing worth emphasizing is",533,2023-01-20,2
text533,", i met with the us senators who arrived in kyiv – messrs . graham , blumenthal and whitehouse .",thank you,"for meaningful negotiations . , this year , it's extremely important not to slow down the pace of our cooperation",533,2023-01-20,2
text534,"the ukrainian peace formula , which will stop russian aggression and restore international law and order in europe . ,",thank you,"for your attention ! and i invite you to kyiv to make concrete arrangements ! , glory to ukraine !",534,2023-01-21,1
text538,", ladies and gentlemen ! ,",thank you,for your attention to ukraine and for this opportunity to address those who create the globally important economic strength of,538,2023-01-23,1
text539,and the 79th separate air assault brigade for their bravery and the results ukraine needs in the donetsk direction .,thank you,", guys ! , i thank everyone who steadfastly defends the positions of our country ! , glory to ukraine",539,2023-01-23,2
text540,want to congratulate all our intelligence officers - those who expand ukraine's capabilities and significantly reduce the enemy's capabilities .,thank you,"for your service ! , i also signed decrees on awarding the warriors of our army , in particular the",540,2023-01-24,1
text541,"step by the united states - this is how the day begins in america . ukraine will receive abrams ,",thank you,"for this decision . , i personally thank mr . president biden , i thank the congress , i thank",541,2023-01-25,1
text541,"separate mechanized brigade , 79th separate air assault brigade , 35th separate marine brigade and 55th separate artillery brigade .",thank you,", warriors , for your resilience and courage , which inspire the world to provide more and more assistance to",541,2023-01-25,1
text541,from the leaders and ordinary people . from all ukrainians and foreigners . from colleagues now and colleagues before .,thank you,"all ! , i think we have the same wish , in fact . a common wish . this is",541,2023-01-25,1
text544,strengthen our air defense . it is that will increase the mobility of our troops on the battlefield . i,thank you,"for this support . i thank all the countries , all the leaders , who this week proved with their",544,2023-01-27,2
text545,"occupiers to place their missile launchers somewhere far from the front line and destroy ukrainian cities with them . ,",thank you,"to everyone in the world – politicians , public figures , journalists , and ordinary people who insist with us",545,2023-01-28,1
